videoId,publishedAt,videoTitle,tags,view_count
rf5Y_kBjSV8,2022-07-22T15:15:02Z,"Argentine Parrilla feast for lunch in Esquel, Argentina! We ate Bife de Chorizo and Vacio!","argentine parrilla,parrilla,argentina parrilla,parrilla in argentina,parrilla feast,parrilla lunch,bife de chorizo,vacio,argentine meat feast,eating argentine steak,bife de chorizo in argentina,vacio in argentina,argentina vacio,argentina bife de chorizo,esquel,esquel chubut,esquel argentina,food,parrilla asado,asado parrilla,lunch parrilla,food in argentina,cuisine,argentine food,argentine cuisine,what to eat in argentina,lunch in argentina,tasty,eat",18729
a2r92UE7WII,2022-06-24T15:00:00Z,"Best Pizza in the World in Buenos Aires, Argentina? Pizza Tour at El Palacio de la Pizza Pizzeria","best pizza in buenos aires,best pizza in the world,best pizza in the world buenos aires,buenos aires best pizza,El Palacio de la Pizza,El Palacio de la Pizza Pizzeria,pizzeria el palacio de la pizza,pizza,pizza buenos aires,buenos aires pizza,pizza in buenos aires,pizza slices in buenos aires,pizza tour buenos aires,pizza tour in buenos aires,buenos aires pizza tour,food,pizzas,best places to eat in pizza in buenos aires,best pizza,buenos aires,argentina,eating",30086
p_DEvCkIwoc,2022-04-29T15:00:22Z,"Classic Argentine Breakfast in Buenos Aires, Argentina: Eating Medialuna and Drinking Café Con Leche","argentine breakfast,classic argentine breakfast,breakfast in buenos aires,breakfast in buenos aires argentina,classic argentine breakfast in buenos aires,classic breakfast in buenos aires,buenos aires,argentina,buenos aires argentina,what to eat for breakfast in buenos aires,what to eat for breakfast in argentina,cafe con leche,medialuna,medialunas,coffee in argentina,coffee in buenos aires,desayuno,eating breakfast in buenos aires,food,breakfast,travel,eat,toast,yum",23841
d4aYyawxKmI,2020-12-08T17:00:12Z,"Father‑Son 50 lb Weight‑Loss Journey 🏃‍♂️ | Intermittent Fasting, Daily Workouts & Diabetes Reversal","weight loss,weight loss challenge,50 lbs weight loss,lifestyle changes,father and son weight loss,healthy eating,fasting for weight loss,fasting for health benefits,fasting,50 pounds weight loss,weight loss for health,healthy weight loss,eating healthy,50 pounds in 3 months,healthy lifestyle,father and son weight loss challenge,father and son,losing weight,dad and son weight loss,eating healthy for weight loss,fasting for health and weight loss,Exercising",31112
1a2e6cZvBSA,2020-02-15T17:00:50Z,"Ukrainian Food Guide 🇺🇦 | 35 Must‑Try Dishes in Kyiv and Lviv – Borscht, Varenyky, Banosh + More","ukraine food guide,ukrainian cuisine,ukrainian food,ukraine food,best ukrainian cuisine,best ukrainian food,food of ukraine,food guide,what to eat in ukraine,eating ukrainian food,ukrainian food tour,ukrainian dishes,trying ukrainian food,ukrainian restaurants,traditional ukrainian food,best of ukrainian food,contemporary ukrainian food introduction to ukrainian cuisine,intro ukrainian food,ukraine,ukraine restaurants,kyiv food,lviv food,food,travel,eat",44435
6OhD3a4siEc,2020-02-06T02:01:50Z,"Taipei Night‑Market Street‑Food Guide 🇹🇼 | 19 Must‑Try Snacks at Shilin, Ningxia and Raohe Markets","taiwanese street food,taiwanese street food guide,taipei street food,best night markets taipei,best night markets taiwan,best taiwanese street food,best taipei street food,taiwanese street food tour,street food,taiwan,taipei,taipei taiwan,street food taipei,street food taiwan,taiwan street food,taipei street food guide,street food guide,best street food in taiwan,best street food in taipei,night market taipei,night market taiwan,street food night market",22064
O4y0izyp_7c,2019-03-19T22:07:45Z,"Fiesta Nacional del Asado en Cholila, Chubut | Patagonia, Argentina","fiesta del asado,fiesta nacional del asado,cholila asado,fiesta del asado 2019,cholila chubut,fiesta de cholila 2019,fiesta del asado cholila,cholila argentina,asado,cholila patagonia,cholila fiesta del asado 2019,asado en chubut,asado en cholila,asado argentina,asado argentino,cholila,biggest asado,argentine barbecue,argentine asado,argentina,gaucho jineteando,asado 2019,grande asado,asado cordero,gaucho,patagonia,asado patagonico,asado patagonia",217657
4ogYLmHYZb0,2018-08-24T13:00:01Z,"Nepal Travel Guide 🇳🇵 | Kathmandu and Pokhara Temples, Food, Lake‑Hikes and Bus Tips","nepal travel guide,nepal travel,nepal,नेपाली यात्रा गाइड,nepal guide,travel guide to nepal,things to do in nepal,nepal trip,nepal itinerary,nepal things to do,nepal tourism,नेपाल यात्रा,nepal attractions,nepal must see,visit nepal,nepal tour,kathmandu to pokhara,kathmandu nepal,नेपाल,travel guide,pokhara nepal,nepal bus ride,nepali food,kathmandu travel,pokhara travel,kathmandu travel guide,nepalese food,pokhara travel guide,nepali,travel,food",68026
pP1l3p-xphs,2018-08-18T14:00:07Z,"Ultimate India Travel Guide 🇮🇳 | 3‑Week Delhi‑to‑Kolkata Itinerary, Trains, Food & Top 7 Cities","india travel guide,india travel,india,india guide,भारत यात्रा गाइड,things to do in india,india itinerary,india trip,travel guide to india,india travel compilation,इंडिया,india things to do,delhi to kolkata,india tourism,india attractions,india must see,भारत यात्रा,india tour,visit india,india train rides,india must do,delhi travel,rajasthan travel,indian food,agra,varanasi,delhi,kolkata,jaipur,jodhpur,jaisalmer,travel guide,travel,food,trip,indian,in",31526
Ygssix9kW-A,2018-05-08T16:00:04Z,Antigua Travel Video (Cinematic B-Roll),"antigua,antigua travel,antigua travel video,antigua travel guide,antigua and barbuda,antigua and barbuda travel,antigua and barbuda travel video,antigua 2018,antigua travel diary,antigua b-roll,antigua and barbuda 2018,antigua cinematic,antigua sailing week,antigua beaches,devil's bridge antigua,shirley heights antigua,antigua cooking,devil's bridge,antigua travel cinematic,antigua food,antigua rum,travel,video,travel video,cinematic,caribbean,b-roll",11255
